pharmacy_id,pharmacy_name,drug_name,category,manufacturer,unit_price_inr,stock_qty,otc_or_rx
PH001,Andheri MedPlus,Justaday Capsule,Analgesic,Tas Med India Pvt Ltd,10.32,174,OTC
PH001,Andheri MedPlus,Rapinac 25mg Injection,Analgesic,Varun Life Sciences Pvt Ltd,5.8,107,Rx
PH001,Andheri MedPlus,Assmol 100mg/325mg Tablet,Analgesic,Assign Drug Industries Pvt Ltd,3.7,63,OTC
PH001,Andheri MedPlus,Fenobax SP 100mg/325mg/15mg Tablet,Analgesic,Baxton Pharmacia,8.03,228,OTC
PH001,Andheri MedPlus,Fenace 125mg Oral Suspension,Analgesic,Invision Medi Sciences Pvt Ltd,0.61,20,OTC
PH001,Andheri MedPlus,Ubadol-SP Tablet,Analgesic,Ubatlife Health Care,11.04,17,OTC
PH001,Andheri MedPlus,FEE Oral Drops,Analgesic,Safetech Formulation,1.51,59,OTC
PH001,Andheri MedPlus,Fenprost G 200mg/20mg Capsule SR,Analgesic,Metamorf Lifesciences,7.5,249,OTC
PH001,Andheri MedPlus,Dicloryn SP 50mg/325mg/10mg Tablet,Analgesic,Aeryn Lifesciences Pvt Ltd,6.15,52,OTC
PH001,Andheri MedPlus,Thermaset DS 250mg Oral Suspension,Analgesic,Orange Biotech Pvt Ltd,0.61,91,OTC
PH001,Andheri MedPlus,Freemol 100mg/325mg Tablet,Analgesic,Omnimol Meditechnics Pvt Ltd,5.05,198,OTC
PH001,Andheri MedPlus,Newpam Tablet,Analgesic,Medoz Pharmaceutical Pvt. Ltd,3.01,7,OTC
PH001,Andheri MedPlus,M Nac 75mg Injection,Analgesic,Mediwill Life Sciences,14.54,205,Rx
PH001,Andheri MedPlus,Aciz SP 100 mg/500 mg/10 mg Tablet,Analgesic,Ritz Pharma,6.49,49,OTC
PH001,Andheri MedPlus,Acondec S 50mg/10mg Tablet,Analgesic,Aconwell Pharma Pvt Ltd,5.06,1,OTC
PH001,Andheri MedPlus,Opimol 250 Oral Suspension,Analgesic,Overseas Pharma Pvt Ltd,0.67,53,OTC
