transaction_id,date,pharmacy_id,pharmacy_name,area,drug_name,category,quantity,unit_price_inr,total_inr,otc_or_rx
TXN000001,2025-07-01,PH008,Goregaon Apollo Pharmacy,Goregaon,Atorin 40mg Tablet,Cardiovascular,2,20.34,40.68,Rx
TXN000002,2025-07-01,PH006,Borivali Apollo Pharmacy,Borivali,Tzine 10mg Tablet,Antihistamine,4,2.68,10.72,OTC
TXN000003,2025-07-01,PH003,Dadar MedPlus,Dadar,Okrab DSR Capsule,Gastrointestinal,2,11.33,22.66,OTC
TXN000004,2025-07-01,PH010,Vile Parle Generic Aid,Vile Parle,Aester-P Oral Suspension,Analgesic,1,0.93,0.93,OTC
TXN000005,2025-07-01,PH010,Vile Parle Generic Aid,Vile Parle,Nexito LS Tablet,Neurological,4,15.11,60.44,Rx
TXN000006,2025-07-01,PH012,Worli Generic Aid,Worli,Insu-GM (ER) Tablet,Antidiabetic,3,9.59,28.77,Rx
TXN000007,2025-07-01,PH012,Worli Generic Aid,Worli,Zepam 0.5mg Tablet MD,Neurological,2,3.37,6.74,Rx
TXN000008,2025-07-01,PH005,Chembur MedPlus,Chembur,Rabizer-D 10mg/20mg Tablet,Gastrointestinal,2,5.14,10.28,OTC
TXN000009,2025-07-01,PH009,Malad City Chemist,Malad,Thyrotreat 100mcg Tablet,Hormonal,4,1.28,5.12,Rx
TXN000010,2025-07-01,PH006,Borivali Apollo Pharmacy,Borivali,Opimol 250 Oral Suspension,Analgesic,2,0.65,1.3,OTC
TXN000011,2025-07-01,PH001,Andheri MedPlus,Andheri,Thyronorm 88mcg Tablet,Hormonal,5,1.9,9.5,Rx
TXN000012,2025-07-01,PH008,Goregaon Apollo Pharmacy,Goregaon,Bio Cal-D 1000mg/200IU Tablet,Supplement,2,2.58,5.16,OTC
TXN000013,2025-07-01,PH006,Borivali Apollo Pharmacy,Borivali,Popucef 500mg Tablet,Antibiotic,2,45.89,91.78,Rx
TXN000014,2025-07-01,PH010,Vile Parle Generic Aid,Vile Parle,Loprazam Forte Tablet,Neurological,3,14.71,44.13,Rx
TXN000015,2025-07-01,PH012,Worli Generic Aid,Worli,Ceftromez 250mg Injection,Antibiotic,3,31.76,95.28,Rx
TXN000016,2025-07-01,PH003,Dadar MedPlus,Dadar,H 2 T-Active Injection,Supplement,5,81.02,405.1,Rx
TXN000017,2025-07-01,PH012,Worli Generic Aid,Worli,Nervibrain 100mg Tablet,Neurological,2,12.39,24.78,Rx
TXN000018,2025-07-01,PH005,Chembur MedPlus,Chembur,Dialoz D 10mg/20mg Capsule SR,Gastrointestinal,2,7.19,14.38,OTC
TXN000019,2025-07-01,PH009,Malad City Chemist,Malad,Ceftromez 250mg Injection,Antibiotic,3,31.19,93.57,Rx
TXN000020,2025-07-01,PH009,Malad City Chemist,Malad,Thyrox 150 Tablet,Hormonal,4,1.97,7.88,Rx
TXN000021,2025-07-01,PH002,Bandra Apollo Pharmacy,Bandra,Vogtid 0.3mg Tablet MD,Antidiabetic,4,8.77,35.08,Rx
TXN000022,2025-07-01,PH008,Goregaon Apollo Pharmacy,Goregaon,Ibinide 200 Nexcap,Respiratory,1,6.04,6.04,OTC
TXN000023,2025-07-01,PH012,Worli Generic Aid,Worli,Pulmosmart 400 Pulmicaps,Respiratory,3,6.36,19.08,OTC
TXN000024,2025-07-01,PH011,Kurla MedPlus,Kurla,Nam Safe Plus Syrup,Analgesic,5,0.68,3.4,OTC
TXN000025,2025-07-01,PH011,Kurla MedPlus,Kurla,Arnikof LS Syrup,Respiratory,1,0.92,0.92,OTC
