transaction_id,date,pharmacy_id,pharmacy_name,area,drug_name,category,quantity,unit_price_inr,total_inr,otc_or_rx
TXN000001,2025-07-01,PH007,Thane City Chemist,Thane,Loratadine 10mg,Antihistamine,4,28.11,112.44,OTC
TXN000002,2025-07-01,PH005,Chembur MedPlus,Chembur,Omeprazole 20mg,Gastrointestinal,4,19.76,79.04,OTC
TXN000003,2025-07-01,PH007,Thane City Chemist,Thane,Sertraline 50mg,Neurological,1,59.52,59.52,Rx
TXN000004,2025-07-01,PH011,Kurla MedPlus,Kurla,Albuterol Inhaler,Respiratory,5,235.86,1179.3,Rx
TXN000005,2025-07-01,PH010,Vile Parle Generic Aid,Vile Parle,Pantoprazole 40mg,Gastrointestinal,4,23.78,95.12,Rx
TXN000006,2025-07-01,PH009,Malad City Chemist,Malad,Vitamin C 500mg,Supplement,5,27.17,135.85,OTC
TXN000007,2025-07-01,PH005,Chembur MedPlus,Chembur,Ciprofloxacin 500mg,Antibiotic,5,41.46,207.3,Rx
TXN000008,2025-07-01,PH010,Vile Parle Generic Aid,Vile Parle,Ranitidine 150mg,Gastrointestinal,3,14.82,44.46,OTC
TXN000009,2025-07-01,PH008,Goregaon Apollo Pharmacy,Goregaon,Amlodipine 5mg,Cardiovascular,1,25.32,25.32,Rx
TXN000010,2025-07-01,PH004,Powai MedPlus,Powai,Losartan 50mg,Cardiovascular,2,33.05,66.1,Rx
TXN000011,2025-07-01,PH012,Worli Generic Aid,Worli,Azithromycin 500mg,Antibiotic,5,81.09,405.45,Rx
TXN000012,2025-07-01,PH005,Chembur MedPlus,Chembur,Losartan 50mg,Cardiovascular,1,34.13,34.13,Rx
TXN000013,2025-07-01,PH010,Vile Parle Generic Aid,Vile Parle,Loratadine 10mg,Antihistamine,2,30.75,61.5,OTC
TXN000014,2025-07-01,PH004,Powai MedPlus,Powai,Sertraline 50mg,Neurological,1,60.39,60.39,Rx
TXN000015,2025-07-01,PH004,Powai MedPlus,Powai,Amoxicillin 500mg,Antibiotic,2,45.32,90.64,Rx
TXN000016,2025-07-01,PH004,Powai MedPlus,Powai,Atorvastatin 10mg,Cardiovascular,3,43.05,129.15,Rx
TXN000017,2025-07-01,PH002,Bandra Apollo Pharmacy,Bandra,Amlodipine 5mg,Cardiovascular,5,23.99,119.95,Rx
TXN000018,2025-07-01,PH011,Kurla MedPlus,Kurla,Pantoprazole 40mg,Gastrointestinal,1,24.29,24.29,Rx
TXN000019,2025-07-01,PH012,Worli Generic Aid,Worli,Glimepiride 2mg,Antidiabetic,1,33.32,33.32,Rx
TXN000020,2025-07-01,PH004,Powai MedPlus,Powai,Amoxicillin 500mg,Antibiotic,4,48.24,192.96,Rx
TXN000021,2025-07-01,PH001,Andheri MedPlus,Andheri,ORS Sachets,Electrolyte,5,8.8,44.0,OTC
TXN000022,2025-07-01,PH002,Bandra Apollo Pharmacy,Bandra,Salbutamol Syrup,Respiratory,5,57.08,285.4,OTC
TXN000023,2025-07-01,PH003,Dadar MedPlus,Dadar,Vitamin D3 60K,Supplement,5,34.93,174.65,OTC
TXN000024,2025-07-01,PH009,Malad City Chemist,Malad,Amlodipine 5mg,Cardiovascular,2,25.17,50.34,Rx
TXN000025,2025-07-01,PH004,Powai MedPlus,Powai,Calamine Lotion,Personal Care,5,66.14,330.7,OTC
TXN000026,2025-07-01,PH008,Goregaon Apollo Pharmacy,Goregaon,Amoxicillin 500mg,Antibiotic,1,49.19,49.19,Rx
TXN000027,2025-07-01,PH011,Kurla MedPlus,Kurla,Losartan 50mg,Cardiovascular,5,31.39,156.95,Rx
TXN000028,2025-07-01,PH010,Vile Parle Generic Aid,Vile Parle,Loratadine 10mg,Antihistamine,1,29.42,29.42,OTC
TXN000029,2025-07-01,PH008,Goregaon Apollo Pharmacy,Goregaon,Ranitidine 150mg,Gastrointestinal,2,14.05,28.1,OTC
TXN000030,2025-07-01,PH009,Malad City Chemist,Malad,Insulin Glargine,Antidiabetic,2,461.13,922.26,Rx
TXN000031,2025-07-01,PH009,Malad City Chemist,Malad,Amlodipine 5mg,Cardiovascular,3,25.7,77.1,Rx
TXN000032,2025-07-01,PH012,Worli Generic Aid,Worli,Multivitamin Tablets,Supplement,4,101.88,407.52,OTC
TXN000033,2025-07-02,PH005,Chembur MedPlus,Chembur,Salbutamol Syrup,Respiratory,3,55.58,166.74,OTC
TXN000034,2025-07-02,PH011,Kurla MedPlus,Kurla,Cetirizine 10mg,Antihistamine,5,15.65,78.25,OTC
TXN000035,2025-07-02,PH009,Malad City Chemist,Malad,Atorvastatin 10mg,Cardiovascular,2,42.83,85.66,Rx
TXN000036,2025-07-02,PH005,Chembur MedPlus,Chembur,Amlodipine 5mg,Cardiovascular,4,27.43,109.72,Rx
TXN000037,2025-07-02,PH005,Chembur MedPlus,Chembur,Doxycycline 100mg,Antibiotic,2,31.15,62.3,Rx
