pharmacy_id,pharmacy_name,drug_name,category,manufacturer,unit_price_inr,stock_qty,otc_or_rx
PH001,Andheri MedPlus,Paracetamol 500mg,Analgesic,Cipla,12.17,174,OTC
PH001,Andheri MedPlus,Ibuprofen 400mg,Analgesic,Sun Pharma,18.98,107,OTC
PH001,Andheri MedPlus,Aspirin 75mg,Analgesic,Bayer,10.29,63,OTC
PH001,Andheri MedPlus,Azithromycin 500mg,Antibiotic,Pfizer,86.42,228,Rx
PH001,Andheri MedPlus,Ciprofloxacin 500mg,Antibiotic,Cipla,39.97,20,Rx
PH001,Andheri MedPlus,Doxycycline 100mg,Antibiotic,Sun Pharma,30.38,17,Rx
PH001,Andheri MedPlus,Cetirizine 10mg,Antihistamine,Dr. Reddy's,17.06,59,OTC
PH001,Andheri MedPlus,Montelukast 10mg,Antihistamine,Merck,156.12,249,Rx
PH001,Andheri MedPlus,Loratadine 10mg,Antihistamine,Cipla,27.33,52,OTC
PH001,Andheri MedPlus,Metformin 500mg,Antidiabetic,Sun Pharma,19.15,91,Rx
PH001,Andheri MedPlus,Glimepiride 2mg,Antidiabetic,Novartis,35.35,198,Rx
PH001,Andheri MedPlus,Insulin Glargine,Antidiabetic,Sanofi,473.62,7,Rx
PH001,Andheri MedPlus,Amlodipine 5mg,Cardiovascular,Pfizer,22.71,205,Rx
PH001,Andheri MedPlus,Atorvastatin 10mg,Cardiovascular,Dr. Reddy's,39.91,49,Rx
PH001,Andheri MedPlus,Losartan 50mg,Cardiovascular,Cipla,34.1,1,Rx
PH001,Andheri MedPlus,Omeprazole 20mg,Gastrointestinal,Sun Pharma,18.11,53,OTC
PH001,Andheri MedPlus,Ranitidine 150mg,Gastrointestinal,GSK,14.51,53,OTC
PH001,Andheri MedPlus,Gabapentin 300mg,Neurological,Pfizer,118.93,145,Rx
PH001,Andheri MedPlus,Levothyroxine 50mcg,Hormonal,Abbott,30.63,161,Rx
PH001,Andheri MedPlus,Salbutamol Syrup,Respiratory,Cipla,54.93,227,OTC
PH001,Andheri MedPlus,Vitamin D3 60K,Supplement,Mankind,33.58,47,OTC
PH001,Andheri MedPlus,Vitamin C 500mg,Supplement,HealthVit,24.54,205,OTC
PH001,Andheri MedPlus,Multivitamin Tablets,Supplement,Himalaya,90.15,248,OTC
PH001,Andheri MedPlus,ORS Sachets,Electrolyte,FDC,9.12,212,OTC
PH001,Andheri MedPlus,Calamine Lotion,Personal Care,Piramal,64.82,81,OTC
PH002,Bandra Apollo Pharmacy,Paracetamol 500mg,Analgesic,Cipla,12.42,23,OTC
PH002,Bandra Apollo Pharmacy,Ibuprofen 400mg,Analgesic,Sun Pharma,17.81,187,OTC
PH002,Bandra Apollo Pharmacy,Aspirin 75mg,Analgesic,Bayer,10.36,40,OTC
PH002,Bandra Apollo Pharmacy,Diclofenac 50mg,Analgesic,Novartis,21.43,44,Rx
PH002,Bandra Apollo Pharmacy,Amoxicillin 500mg,Antibiotic,GSK,41.34,70,Rx
PH002,Bandra Apollo Pharmacy,Azithromycin 500mg,Antibiotic,Pfizer,85.5,128,Rx
PH002,Bandra Apollo Pharmacy,Ciprofloxacin 500mg,Antibiotic,Cipla,36.09,215,Rx
